title,price,description,date,location
Touch not working phone good condition,"₹ 1,500",Touch not working,2023-10-14T10:39:55+0000,"Sidhari, Azamgarh, Uttar Pradesh, India"
Brand new condition,"₹ 15,000",Samsung M31s,2023-10-14T10:39:54+0000,"Gulab Nagar Near Amar Vihar Colony, Yamunanagar, Haryana, India"
Apple iPhone XR 64gb black excellent condition low price original,"₹ 16,300","Apple iPhone XR 64gb black Bettery Health 84% iPhone with no problem, and mint condition for immediate sale With accessories  This phone is very less used as this was my spare phone  Reason for selling upgrading to latest iPhone  Only genuine buyers contact, price is slightly negotiable no exchange please",2023-10-14T10:39:53+0000,"Sector 21, Faridabad, Haryana, India"
Iphone 11 64gb,"₹ 25,500",Bill box cable all available battery health 83%. Plss dont say silly prices…,2023-10-14T10:39:46+0000,"Gharahakhu, Sultanpur, Uttar Pradesh, India"
IPHONE AMAZING DEAL WITH 12 MONTH WARRANTY LATEST REFURBISHED,"₹ 22,000",WE DEAL IN ALL REFURBISHED TOP MODEL WITH WARRANTY BILL 12 MONTH   COD AVAILABLE CORIER CHARGES WILLBE APPLICABLE   WE HAVE APPLE PRODUCT DISTRIBUTER   WE HAVE MILLIONS OF INDIAN HAPPY CUSTOMER FROM MULTIPLE CITIES OF INDIA   DISPLAY SIZE.   6.7 INCH BATTERY HEALTH.  100%  BATERY : 3800 MAH CPU T8101 A 14BIONIC  RAM  6GB RAM  STORAGE. 256GB 512GB  CELLULAR RADIO :  (5G)  # WITH 7 days Return & Replacement policy  # 365 Days 24 Hours customer Support  # For Any Information About IPHONE CALL ME OR WHATSAAP ME ON GIVEN NUMBER,2023-10-14T10:39:46+0000,"Sarojini Nagar, Kadapa, Andhra Pradesh, India"
A16 4 gb 64,"₹ 7,500",No problem no charge,2023-10-14T10:39:45+0000,"Lohanipur, Patna, Bihar, India"
One Plus 5,"₹ 10,000",8 + 128 GB,2023-10-14T10:39:41+0000,"Kaliya Bid, Bhavnagar, Gujarat, India"
Poco x2 8GB ram 256 GB internal memory,"₹ 5,500",Nice mobile good working condition I buy this mobile in 2021,2023-10-14T10:39:40+0000,"Prashasan Nagar, Hyderabad, Telangana, India"
Vivo Y33T 8gb 128gb bill Box changer available,"₹ 9,999",Vivo Y33T bill Box changer available 8gb 128gb Mint condition all accessories orignal,2023-10-14T10:39:37+0000,"MG Market, Hubballi, Karnataka, India"
Sell my  phone,"₹ 20,000",Oneplus 9r   5g 8 gb   &128 Black colour  No dent .no spot 13  months old  20000,2023-10-14T10:39:36+0000,"Ganeshpur, Ganj Dundwara, Uttar Pradesh, India"
iPhone 11 ek dum okay,"₹ 22,500",iPhone 11 nice mobile,2023-10-14T10:39:33+0000,"Partapgarh 210, Batala, Punjab, India"
A13 5g 4 gb 64 gb,"₹ 7,500",Selling phone and cable and bill Box and charger not available Working phone using phone,2023-10-14T10:39:28+0000,"Warje, Pune, Maharashtra, India"
Iphone also new models available box with also accsories available,"₹ 20,000",Also refurbished new iPhone models available Box pack with also new colors & models available Cash on delivery available all india Call me now,2023-10-14T10:39:25+0000,"Godavari Nagar, Karad, Maharashtra, India"
iPhone 12 series,"₹ 40,000",Urgent money need,2023-10-14T10:39:24+0000,"Ramapuram Kalyani Ponnappan Avenue, Chennai, Tamil Nadu, India"
Iphone 12 5G (128gb). With bill box all.,"₹ 39,999","Iphone 12 5G (128gb). In New condition. With bill box all. 12 months old. 3 months shop warranty. 87% battery health  Exchange also available.         For more ads:   See Profile Below For more details:   call us and visit our shop                      ( MOBILE MANIA )          SECOND HAND MOBILE SHOP  ADDRESS: Anisabad Golambar, Behind Suraj Mandir, Patna-2.  TIMING:      11 am to 9 pm.     All Days open",2023-09-21T20:36:25+0000,"Anisabad, Patna, Bihar, India"
* SEALD PACK * SAMSUNG GALAXY Z FLIP 3 5G 8GB/256GB PURPLE & GOLD,"₹ 40,999",* SEALD PACK * SAMSUNG GALAXY Z FLIP 3 5G 8GB/256GB PURPLE & GOLD COLOUR AVAILABLE GLOBAL UNIT SEALD PACK UNIT INTERSTED PEOPLE CAN CALL AND CHAT   * CREDIT CARD AND DEBIT CARD EMI AVAILABLE *,2023-09-03T18:38:02+0000,"Kurla West, Mumbai, Maharashtra, India"
14 Pro Max 256Gb underwarrnty available at phonereseller-Calangute,"₹ 95,000","iPhone 14 Pro Max 256GB Mint condition  Exchange available  EMI on credit card payment available   Visit our Store in Calangute and Panjim for More deals in Used iPhone and Android Product  Near Hdfc bank opposite Nitya resort ,naikvaddo calangute-GOA",2023-09-22T07:35:42+0000,"Naikavaddo, Calangute, Goa, India"
Mi note 4 gb ram 64 gb storage,"₹ 4,000",Urgent sale,2023-10-14T10:41:23+0000,"Begampur Khatola, Gurgaon, Haryana, India"
"Oneplus node ce 2 , 128gb","₹ 18,000",Ram 8 gb its one year old hardly used 128gb memory 5000mah batttery,2023-10-14T10:41:21+0000,"Stellar Jeevan GH03 noida West, Greater Noida, Uttar Pradesh, India"
OnePlus Nord 2 5G 16gb ram 256gb inbuilt,"₹ 21,000",OnePlus Nord 2 5G 16gb ram 256gb inbuilt  13 months use one hand use Mint condition With original Bill & Charger,2023-10-14T10:41:19+0000,"Bajarang Chauk, Aurangabad, Maharashtra, India"
I PHONE 14 PLUS 128 GB,"₹ 57,500","I phone 14 plus 128gb in unber warranty memory joordaar condition bill & cable available hai aur bhi model available hai, apple, Samsung, vivo, OPPO ,etc,lalganga shopping mall shop no 52, ss trending gadgets, raipur chattishgarh, jayda jaankari ke liye message kare",2023-10-14T10:41:14+0000,"Broyan Bazar, Raipur, Chhattisgarh, India"
Readmi 10 power,"₹ 8,500",Brand new condition 6/128,2023-10-14T10:41:13+0000,"Premnarayan, Chirgaon, Uttar Pradesh, India"
Oppo F21pro 5g,"₹ 15,000",Nothing else new phone only display broken,2023-10-14T10:41:08+0000,"Hansapal, Bhubaneshwar, Odisha, India"
IPhone 12 mini,"₹ 30,000",iPhone 12 mini,2023-10-14T10:41:07+0000,"Venkatarayapuram, Tanuku, Andhra Pradesh, India"
